,State name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50
1,JAMMU AND KASHMIR,12541302,6640662,5900640,7067233,4264671,2802562,4322713,3195090,1127623,1105608,1526226,1771552,1457576,863950,615858,7725207,3069723,1731253
2,HIMACHAL PRADESH,6864602,3481873,3382729,5039736,2752590,2287146,3559422,2043373,1516049,648716,1117178,982486,1166943,776104,425328,3648872,1905011,1300556
3,PUNJAB,27743338,14639465,13103873,18707137,10436056,8271081,9897362,8074157,1823205,2422485,4060061,3439808,3946146,2426383,1574711,15143130,7481850,5076836
4,CHANDIGARH,1055450,580663,474787,805438,465346,340092,404136,328159,75977,80406,118667,114209,124707,98786,174528,602411,303748,148945
5,UTTARAKHAND,10086292,5137773,4948519,6880953,3863708,3017245,3872275,2551921,1320354,1171572,1711250,1544365,1121015,859913,818020,6033370,2419886,1616428
6,HARYANA,25351462,13494734,11856728,16598988,9794067,6804921,8916508,6806636,2109872,2534054,3514393,3001803,3217040,2137786,1866017,15006789,6403218,3909921
7,DELHI,16787941,8987326,7800615,12737767,7194856,5542911,5587049,4762026,825023,1121440,2459701,2691147,2582915,2134748,2346885,9665080,4762353,2343806
8,RAJASTHAN,68548437,35550997,32997440,38275282,23688412,14586870,29886255,18297076,11589179,10023840,9701209,7804790,4979245,3241557,3500508,42814434,15938006,9526395
9,UTTAR PRADESH,199812341,104480510,95331831,114397555,68234964,46162591,65814715,49846762,15967953,29707438,33441369,26347392,17311875,11978183,9588223,126507123,44192083,27491073
10,BIHAR,104099452,54278157,49821295,52504553,31608023,20896530,34724987,25222189,9502798,21533037,16822947,10287996,7565444,4600511,3346072,66930323,22949064,13816563
11,SIKKIM,610577,323070,287507,444952,251269,193683,308138,194358,113780,94633,125319,94096,54858,34950,32907,364810,161866,82725
12,ARUNACHAL PRADESH,1383727,713912,669815,766005,439868,326137,587657,350273,237384,163076,203321,177395,124932,90576,60298,904739,337844,139635
13,NAGALAND,1978502,1024649,953853,1342434,723957,618477,974122,547357,426765,226798,391795,406074,190484,103214,89079,1289918,475130,211983
14,MANIPUR,3953000,1993925,1959075,2756651,1478387,1278264,1791315,1030148,761167,372190,697476,844645,557047,344615,303507,2381354,1009379,553857
15,TRIPURA,3673917,1874376,1799541,2804783,1501369,1303414,1469521,1045326,424195,572033,908733,887990,295040,151689,137119,2093146,1010551,568604
16,MEGHALAYA,2966889,1491832,1475057,1785005,913879,871126,1185619,703709,481910,487099,590822,403779,286005,135182,94205,2040423,632928,287754
17,ASSAM,31205576,15939443,15266133,19177977,10568639,8609338,11969690,8541560,3428130,3743725,6286859,6391073,2720548,1749752,1017971,19042032,8016988,4127732
18,WEST BENGAL,91276115,46809027,44467088,61538281,33818810,27719471,34756355,26716047,8040308,10838317,17632154,18271212,7446104,4364896,4618160,50551737,25343015,15268912
19,JHARKHAND,32988134,16930315,16057819,18328069,10882519,7445550,13098274,8424769,4673505,4779714,5937774,4514320,2790642,1636646,1154047,20576647,7766660,4528093
20,ORISSA,41974218,21212136,20762082,26742595,15089681,11652914,17541589,11902655,5638934,5501486,8066601,6700024,4093205,1829576,1689899,23359384,11179683,7315980
21,CHHATTISGARH,25545198,12832895,12712303,15379922,8807893,6572029,12180225,7133866,5046359,3889201,4058000,3421010,1853321,1562183,1072482,15230475,6505399,3786209
22,MADHYA PRADESH,72626809,37612306,35014503,42851169,25174328,17676841,31574133,20146970,11427163,10486391,10363593,7486768,5754570,4267299,3476419,44264116,17814066,10465765
23,GUJARAT,60439692,31491260,28948432,41093358,23474873,17618485,24767747,18000914,6766833,6667022,14528220,5920431,7345431,3491202,3384559,34370917,16291242,9538689
24,DAMAN AND DIU,243247,150301,92946,188406,124643,63763,121271,107434,13837,10829,35762,38951,36042,18537,11034,153064,66800,23027
25,DADRA AND NAGAR HAVELI,343709,193760,149949,223230,142521,80709,157161,119293,37868,24701,69140,32004,37809,22700,19655,225103,87888,30346
26,MAHARASHTRA,112374333,58243056,54131277,81554290,45257584,36296706,49427878,32616875,16811003,10211270,18242722,15861646,17831786,10618622,8463507,61782561,30272010,19912066
27,ANDHRA PRADESH,84580777,42442146,42138631,50556760,28251243,22305517,39422906,24185595,15237311,9672732,13036342,11566354,9266937,5481749,5069999,45815669,23148452,14845225
28,KARNATAKA,61095297,30966657,30128640,40647322,22508471,18138851,27872597,18270116,9602481,6004302,12425200,7721533,8431196,4702161,4355748,33676315,16740325,10632806
29,GOA,1458545,739140,719405,1165487,615823,549664,577248,419536,157712,70842,174560,268661,262876,152299,144241,695406,455405,305640
30,LAKSHADWEEP,64473,33123,31350,52553,28023,24530,18753,15318,3435,5641,13391,13836,13997,6642,3491,33877,19244,11237
31,KERALA,33406061,16027412,17378649,28135824,13704903,14430921,11619063,8451569,3167494,2505698,5405604,6417918,7583656,3808994,2992499,15711427,9796202,7863946
32,TAMIL NADU,72147030,36137975,36009055,51837507,28040491,23797016,32884681,21434978,11449703,5073396,12042684,11777047,10557632,5628815,7131256,36336584,21429281,14314360
33,PONDICHERRY,1247953,612511,635442,957309,497378,459931,444968,332931,112037,87059,177650,200672,198755,107261,161376,627771,387613,231468
34,ANDAMAN AND NICOBAR ISLANDS,380581,202871,177710,294281,164377,129904,152535,120889,31646,34833,60466,71733,61182,43620,28821,204538,119161,56514
,,,,,,,,,,,,,,,,,,,
